bandgap,wl,pero,si
1.5,830,0.476536602528414,0.475114864059585
1.5,840,0.262631146665378,0.686700303224383
1.5,850,0.104369090587682,0.841036424198538
1.5,860,0.0257681191820742,0.916320290853258
1.5,870,4.08956916404548e-08,0.939955546437983
1.5,880,-1.07125502589789e-17,0.938778876611972
1.5,890,4.28118389344837e-17,0.93786970142667
1.5,900,-1.0702438535273601e-17,0.936989688341301
1.5,910,1.06773821063604e-17,0.936749386246489
1.5,920,5.54683403991795e-22,0.934367240632375
1.5,930,-5.32061011190893e-17,0.931483159489921
1.5,940,3.19845125972e-17,0.929376718509758
1.5,950,6.94144036470265e-17,0.926387286095159
1.5,960,1.06297878760249e-17,0.922984926397177
1.5,970,-6.45271632914833e-17,0.918490965213631
1.5,980,2.80347854082248e-17,0.906752081864024
1.5,990,-1.05338649643738e-17,0.899081223958396
1.5,1000,6.35485072369471e-17,0.880265484778762
1.5,1010,-7.729340215854649e-18,0.855683201511661
1.5,1020,3.1840877983364298e-18,0.843307685387847
1.5,1030,2.99339345464651e-17,0.798342475089352
1.5,1040,-4.72440827404203e-17,0.748196628753477
1.5,1050,-1.08903488667378e-17,0.712873780620229
1.5,1060,-3.56079299949638e-17,0.64813385683728
1.5,1070,5.05042697110009e-17,0.569558511789053
1.5,1080,-5.37539103625556e-17,0.550545061292026
1.5,1090,2.8999744425736304e-17,0.52702893640807
1.5,1100,7.78159095017775e-17,0.451512842481121
1.5,1110,5.71618894199176e-17,0.404345342288231
1.5,1120,2.32526947356793e-17,0.343442473160027
1.5,1130,5.56232586996731e-18,0.271886647365839
1.5,1140,-6.01800748244708e-17,0.204349872842615
1.5,1150,-3.78003680082143e-17,0.160628264105645
1.5,1160,3.03589921934444e-17,0.103371610244686
1.5,1170,8.21454884744194e-18,0.058728292525284
1.5,1180,1.06406401011372e-16,0.0155712692372773
1.5,1190,4.1619387036798296e-18,0.0082958418364579
1.5,1200,-9.698752194093921e-17,0.0048783284282586
1.5,1210,9.61481950352364e-18,0.0029943562872963
1.5,1220,5.0812000792419904e-17,0.0015687328589618
1.5,1230,-1.20272993083261e-18,0.0011640967457492
1.5,1240,2.20112574451217e-17,0.0006943754639132
1.51,300,0.0400541069320935,1.7607542964816101e-10
1.51,310,0.0674136780399787,5.16245157605713e-10
1.51,320,0.103918392116558,8.686140967779071e-10
1.51,330,0.137820402681376,1.81716181980149e-09
1.51,340,0.1618374197423,3.94762050318612e-09
1.51,350,0.204945427612659,8.28224153226119e-09
1.51,360,0.276895745673809,1.01322442555899e-08
1.51,370,0.365432326688349,1.23312333001146e-08
1.51,380,0.460404535835955,1.24666380224667e-08
1.51,390,0.547197806197553,6.7616363309471e-09
1.51,400,0.618420041478284,4.74034236345026e-09
1.51,410,0.666251364603207,4.721229924686621e-09
1.51,420,0.689516221118185,7.2911415905004504e-09
1.51,430,0.699372173508755,1.61455601028443e-08
1.51,440,0.704296742333453,5.87347364660879e-08
1.51,450,0.710597591880822,2.18280937718056e-07
1.51,460,0.724051249593454,1.14048427254709e-06
1.51,470,0.74192222478341,6.02732475877108e-06
1.51,480,0.758177595297707,2.16434172812573e-05
1.51,490,0.773227318316781,5.38809363474116e-05
1.51,500,0.790329294264405,9.91209788880911e-05
1.51,510,0.811021981745951,0.000129947010025
1.51,520,0.833970654662943,0.0001571619475113
1.51,530,0.852090437822785,0.0001897229380786
1.51,540,0.862646140134861,0.0002655561047837
1.51,550,0.867735081866028,0.0004395426465098
1.51,560,0.869959087062484,0.0008403724145169
1.51,570,0.873041270259377,0.0019507482409164
1.51,580,0.87707006530363,0.0041460159486074
1.51,590,0.879691664825544,0.0074774320765692
1.51,600,0.879292855307562,0.0124326352372398
1.51,610,0.87573757045427,0.0197244228339068
1.51,620,0.869520780321249,0.0291420865996421
1.51,630,0.864878308048083,0.0396088907394445
1.51,640,0.86105456042366,0.0509360393328835
